               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.023677,            0.047349,           0.0055353,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007162,            0.007162,            0.007162
                  88,            0.024202,            0.046976,           0.0052637,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007129,            0.007129,            0.007129
                  89,            0.023463,            0.050478,           0.0054719,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007096,            0.007096,            0.007096
                  90,            0.024464,             0.04572,           0.0052977,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.007063,            0.007063,            0.007063
                  91,            0.023693,            0.044722,            0.005258,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00703,             0.00703,             0.00703
                  92,            0.024297,            0.049635,           0.0052975,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006997,            0.006997,            0.006997
                  93,            0.024126,            0.047591,           0.0052487,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006964,            0.006964,            0.006964
                  94,            0.024171,            0.048355,           0.0053139,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006931,            0.006931,            0.006931
                  95,            0.023293,            0.047636,           0.0049923,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006898,            0.006898,            0.006898
                  96,            0.024057,            0.046029,           0.0048266,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006865,            0.006865,            0.006865
                  97,            0.022614,            0.045214,           0.0051648,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006832,            0.006832,            0.006832
                  98,            0.023506,             0.04639,           0.0049583,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006799,            0.006799,            0.006799
                  99,            0.022675,            0.048798,           0.0049789,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006766,            0.006766,            0.006766
                 100,            0.023206,            0.047261,           0.0046562,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.006733,            0.006733,            0.006733
                 101,            0.023373,            0.048814,           0.0047833,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,              0.0067,              0.0067,              0.0067
